Time,"CH 1, GSR1","CH 2, GSR2","CH 3, GSR3","CH 4, GSR4","CH 5, GSR5"
0,-0.001220703,-0.000610352,-0.000305176,0,0.000305176
1,-0.000915527,-0.001525879,0,-0.000915527,0
2,-0.000915527,-0.000610352,0.000305176,-0.000610352,-0.000610352
3,-0.001220703,-0.000915527,-0.000305176,-0.000915527,-0.000305176
4,-0.001525879,-0.000305176,-0.000915527,-0.000610352,0
5,-0.001220703,-0.001220703,-0.000915527,-0.001525879,-0.000610352
6,-0.000915527,-0.001525879,-0.000305176,0,-0.000610352
7,-0.001525879,-0.000915527,-0.000305176,-0.001220703,-0.000305176
8,-0.001220703,-0.001525879,-0.000305176,-0.000915527,-0.000610352
9,-0.000610352,-0.000915527,-0.000915527,-0.000610352,-0.000305176
10,-0.001525879,-0.000915527,-0.000305176,-0.001220703,-0.000305176
11,-0.001525879,-0.001220703,-0.000305176,-0.000610352,-0.000610352
12,-0.001525879,-0.002441406,-0.000915527,-0.001220703,-0.000305176
13,-0.00213623,-0.00213623,-0.001220703,-0.001220703,-0.000915527
14,-0.002441406,-0.00213623,-0.000610352,-0.000915527,-0.000915527
15,-0.002441406,-0.00213623,-0.000610352,-0.001831055,-0.000915527
16,-0.00213623,-0.003051758,-0.001220703,-0.001831055,-0.000915527
17,0.000305176,-0.000915527,-0.000305176,-0.000610352,0
18,-0.000305176,-0.000915527,0.000305176,-0.000610352,-0.000305176
19,-0.000305176,-0.000305176,-0.000305176,-0.000610352,0
20,-0.000610352,-0.000610352,-0.000305176,-0.001525879,0
21,-0.000610352,0,-0.000305176,-0.001525879,-0.000305176
22,-0.000610352,-0.000610352,0,-0.001220703,-0.000610352
23,-0.000915527,-0.000915527,-0.000610352,-0.001220703,0
24,-0.000915527,-0.000915527,-0.000915527,-0.000305176,0.000305176
25,-0.000305176,-0.000610352,-0.000610352,-0.001220703,-0.000915527
26,-0.000305176,-0.000915527,0,-0.000915527,0
27,-0.000915527,-0.000610352,0,-0.000915527,-0.000305176
28,0,-0.000915527,-0.000915527,-0.000610352,0
29,0.000305176,-0.000610352,0,-0.001525879,0.000305176
30,-0.000610352,0,-0.000305176,-0.000915527,0.000305176
31,-0.001220703,-0.000915527,0,-0.001220703,-0.000610352
32,-0.001220703,-0.001220703,-0.000610352,-0.000915527,-0.000610352
33,-0.000915527,-0.000610352,-0.000610352,-0.000610352,-0.000610352
34,-0.001220703,-0.000305176,-0.000305176,-0.000915527,0
35,-0.000915527,-0.000610352,0.000305176,-0.000915527,0
36,-0.000610352,-0.000915527,0,-0.000915527,-0.000305176
37,-0.001525879,-0.000610352,-0.000305176,-0.001220703,-0.000305176
38,-0.000305176,-0.001220703,0,-0.001525879,0.000305176
39,-0.000915527,-0.000915527,-0.000305176,-0.000915527,0
40,-0.000610352,-0.000610352,-0.000305176,-0.000610352,0
41,-0.000915527,-0.000915527,0,-0.001525879,0.000305176
42,-0.000915527,-0.000915527,-0.000305176,-0.000305176,-0.000610352
43,-0.001220703,0,0,-0.000915527,0
44,-0.000915527,-0.001220703,-0.000305176,-0.001220703,-0.000305176
45,-0.000915527,0,0,-0.001525879,-0.000610352
46,-0.003356934,-0.001831055,-0.001220703,-0.001220703,-0.001525879
47,-0.002441406,-0.001831055,-0.000610352,-0.001525879,-0.001525879
48,-0.002441406,-0.001220703,-0.001525879,-0.001220703,-0.000915527
49,-0.002746582,-0.001220703,0.000305176,-0.000610352,-0.000305176
50,-0.002441406,-0.00213623,-0.000610352,-0.001831055,-0.001525879
51,-0.003051758,-0.001525879,-0.001525879,-0.001525879,-0.000915527
52,-0.003356934,-0.001525879,-0.001220703,-0.001831055,-0.001220703
